ID_ATECO;CODICE_ATECO;DESCRIZIONE
114;01.62.0;Attività di supporto alla produzione animale (esclusi i servizi veterinari)
115;01.62.01;Attività dei maniscalchi
116;01.62.09;Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)
117;01.63;Attività successive alla raccolta
118;01.63.0;Attività che seguono la raccolta
119;01.63.00;Attività che seguono la raccolta
120;01.64;Lavorazione delle sementi per la semina
121;01.64.0;Lavorazione delle sementi per la semina
122;01.64.01;Pulitura e cernita di semi e granaglie
123;01.64.09;Altre lavorazioni delle sementi per la semina
124;01.7;CACCIA, CATTURA DI ANIMALI E SERVIZI CONNESSI
125;01.70;Caccia, cattura di animali e servizi connessi
126;01.70.0;Caccia, cattura di animali e servizi connessi
127;01.70.00;Caccia, cattura di animali e servizi connessi
128;2;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI
129;02.1;SILVICOLTURA ED ALTRE ATTIVITÀ FORESTALI
130;02.10;Silvicoltura ed altre attività forestali
131;02.10.0;Silvicoltura e altre attività forestali
132;02.10.00;Silvicoltura e altre attività forestali
133;02.2;UTILIZZO DI AREE FORESTALI
134;02.20;Utilizzo di aree forestali
135;02.20.0;Utilizzo di aree forestali
136;02.20.00;Utilizzo di aree forestali
137;02.3;RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI
138;02.30;Raccolta di prodotti selvatici non legnosi
139;02.30.0;Raccolta di prodotti selvatici non legnosi
140;02.30.00;Raccolta di prodotti selvatici non legnosi
141;02.4;SERVIZI DI SUPPORTO PER LA SILVICOLTURA
142;02.40;Servizi di supporto per la silvicoltura
143;02.40.0;Servizi di supporto per la silvicoltura
144;02.40.00;Servizi di supporto per la silvicoltura
145;3;PESCA E ACQUACOLTURA
146;03.1;PESCA
147;03.11;Pesca marina
148;03.11.0;Pesca in acque marine e lagunari e servizi connessi
149;03.11.00;Pesca in acque marine e lagunari e servizi connessi
150;03.12;Pesca in acque dolci
151;03.12.0;Pesca in acque dolci e servizi connessi
152;03.12.00;Pesca in acque dolci e servizi connessi
153;03.2;ACQUACOLTURA
154;03.21;Acquacoltura marina
155;03.21.0;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi
156;03.21.00;Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi
157;03.22;Acquacoltura in acque dolci
158;03.22.0;Acquacoltura in acque dolci e servizi connessi
159;03.22.00;Acquacoltura in acque dolci e servizi connessi
160;5;ESTRAZIONE DI CARBONE (ESCLUSA TORBA)
161;05.1;ESTRAZIONE DI ANTRACITE
162;05.10;Estrazione di antracite
163;05.10.0;Estrazione di antracite e litantrace
164;05.10.00;Estrazione di antracite e litantrace
165;05.2;ESTRAZIONE DI LIGNITE
166;05.20;Estrazione di lignite
167;05.20.0;Estrazione di lignite
168;05.20.00;Estrazione di lignite
169;6;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
170;06.1;ESTRAZIONE DI PETROLIO GREGGIO
171;06.10;Estrazione di petrolio greggio
172;06.10.0;Estrazione di petrolio greggio
173;06.10.00;Estrazione di petrolio greggio
174;06.2;ESTRAZIONE DI GAS NATURALE
175;06.20;Estrazione di gas naturale
176;06.20.0;Estrazione di gas naturale
177;06.20.00;Estrazione di gas naturale
178;7;ESTRAZIONE DI MINERALI METALLIFERI
179;07.1;ESTRAZIONE DI MINERALI METALLIFERI FERROSI
180;07.10;Estrazione di minerali metalliferi ferrosi
181;07.10.0;Estrazione di minerali metalliferi ferrosi
182;07.10.00;Estrazione di minerali metalliferi ferrosi
183;07.2;ESTRAZIONE DI MINERALI METALLIFERI NON FERROSI
184;07.21;Estrazione di minerali di uranio e di torio
185;07.21.0;Estrazione di minerali di uranio e di torio
186;07.21.00;Estrazione di minerali di uranio e di torio
187;07.29;Estrazione di altri minerali metalliferi non ferrosi
188;07.29.0;Estrazione di altri minerali metalliferi non ferrosi
189;07.29.00;Estrazione di altri minerali metalliferi non ferrosi
190;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
191;08.1;ESTRAZIONE DI PIETRA, SABBIA E ARGILLA
192;08.11;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
193;08.11.0;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
194;08.11.00;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia
195;08.12;"Estrazione di ghiaia e sabbia; estrazione di argille e caolino"
196;08.12.0;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
197;08.12.00;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
198;08.9;ESTRAZIONE DI MINERALI DA CAVE E MINIERE NCA
199;08.91;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
200;08.91.0;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
201;08.91.00;Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
202;08.92;Estrazione di torba
203;08.92.0;Estrazione di torba
204;08.92.00;Estrazione di torba
205;08.93;Estrazione di sale
206;08.93.0;Estrazione di sale
207;08.93.00;Estrazione di sale
208;08.99;Estrazione di altri minerali da cave e miniere nca
209;08.99.0;Estrazione di altri minerali nca
210;08.99.01;Estrazione di asfalto e bitume naturale
211;08.99.09;Estrazione di pomice e di altri minerali nca
212;9;ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
213;09.1;ATTIVITÀ DI SUPPORTO ALL'ESTRAZIONE DI PETROLIO E DI GAS NATURALE
214;09.10;Attività di supporto all'estrazione di petrolio e di gas naturale
215;09.10.0;Attività di supporto all'estrazione di petrolio e di gas naturale
216;09.10.00;Attività di supporto all'estrazione di petrolio e di gas naturale
217;09.9;ATTIVITÀ DI SUPPORTO PER L'ESTRAZIONE DA CAVE E MINIERE DI ALTRI MINERALI
218;09.90;Attività di supporto per l'estrazione da cave e miniere di altri minerali
219;09.90.0;Attività di supporto per l'estrazione da cave e miniere di altri minerali
220;09.90.01;Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice, di altri minerali e prodotti di cava
221;09.90.09;Altre attività di supporto all'estrazione
222;10;INDUSTRIE ALIMENTARI
223;10.1;LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE
224;10.11;Lavorazione e conservazione di carne (escluso volatili)
225;10.11.0;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
226;10.11.00;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
227;10.12;Lavorazione e conservazione di carne di volatili
228;10.12.0;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
229;10.12.00;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
230;10.13;Produzione di prodotti a base di carne (inclusa la carne di volatili)
231;10.13.0;Produzione di prodotti a base di carne (inclusa la carne di volatili)
232;10.13.00;Produzione di prodotti a base di carne (inclusa la carne di volatili)
233;10.2;LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI
234;10.20;Lavorazione e conservazione di pesce, crostacei e molluschi
235;10.20.0;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera
236;10.20.00;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera
237;10.3;LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI
238;10.31;Lavorazione e conservazione delle patate
239;10.31.0;Lavorazione e conservazione delle patate
240;10.31.00;Lavorazione e conservazione delle patate
241;10.32;Produzione di succhi di frutta e di ortaggi
242;10.32.0;Produzione di succhi di frutta e di ortaggi
243;10.32.00;Produzione di succhi di frutta e di ortaggi
244;10.39;Altra Lavorazione e conservazione di frutta e di ortaggi
245;10.39.0;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
246;10.39.00;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
247;10.4;PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI
248;10.41;Produzione di oli e grassi
249;10.41.1;Produzione di olio di oliva da olive prevalentemente non di produzione propria
250;10.41.10;Produzione di olio di oliva da olive prevalentemente non di produzione propria
